Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/GradientStep,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
122.97701263427734,0.0,25.579999923706055,0.0,1.4198371171951294,0.02539890818297863,1.0,1.0009715557098389,1.0009715557098389,1.0009715557098389,0.02709903009235859,0.00029940000968053937,nan,1.0009024143218994,20000.0,0.012748884968459606,0.012748884968459606,0.2870140075683594,1881.245361328125,1881.245361328125,-0.10188926756381989,0.02276664413511753,0.02276664413511753,-0.09682150930166245,38.06955337524414,34.90109634399414,3.168013572692871,38.06923294067383,525.3587646484375,0.0,0.0,0.0,0.0
137.71719360351562,0.0,28.65999984741211,1.0,1.4185007810592651,0.023219015449285507,1.0,1.0006264448165894,1.0006264448165894,1.0006264448165894,0.024408331140875816,0.00029880000511184335,nan,0.9995712041854858,40000.0,0.008070964366197586,-0.00467792060226202,-0.0938740000128746,1641.4599609375,-239.785400390625,4.9787726402282715,0.004301690496504307,-0.018464953638613224,-0.03215767443180084,81.86945343017578,40.301475524902344,3.4725213050842285,43.77412414550781,456.8910217285156,0.0,0.0,0.0,0.0
148.29019165039062,0.0,30.65999984741211,2.0,1.417693853378296,0.022982141003012657,1.0,0.9995015859603882,0.9995015859603882,0.9995015859603882,0.02483082003891468,0.0002982000005431473,nan,0.9987667202949524,60000.0,0.008199350908398628,0.00012838654220104218,0.2511611878871918,1788.1956787109375,146.7357177734375,14.261696815490723,0.004379990044981241,7.829954847693443e-05,-0.01180766150355339,129.07357788085938,43.65293884277344,3.5211331844329834,47.1744270324707,423.9585876464844,0.0,0.0,0.0,0.0
170.41384887695312,0.0,35.29999923706055,3.0,1.416488528251648,0.02799658291041851,1.0,1.0002641677856445,1.0002641677856445,1.0002641677856445,0.026197059080004692,0.0002975999959744513,nan,0.9975780248641968,80000.0,0.007609136402606964,-0.0005902145057916641,-0.06677314639091492,1815.128173828125,26.9324951171875,20.76157569885254,0.004057802259922028,-0.00032218778505921364,-0.002190755680203438,175.35336303710938,42.70445251464844,3.5481984615325928,46.252777099609375,432.40655517578125,0.0,0.0,0.0,0.0
191.13995361328125,0.0,39.220001220703125,4.0,1.4160457849502563,0.022137681022286415,1.0,1.0007466077804565,1.0007466077804565,1.0007466077804565,0.023935548961162567,0.0002969999914057553,nan,0.9971480965614319,100000.0,0.008192604407668114,0.0005834680050611496,-0.11496550589799881,1931.4600830078125,116.3319091796875,26.678956985473633,0.0019368203356862068,-0.0021209819242358208,-0.0023575688246637583,221.80592346191406,42.7958984375,3.6183559894561768,46.414390563964844,430.9009704589844,0.0,0.0,0.0,0.0
201.9628143310547,0.0,41.400001525878906,5.0,1.414117455482483,0.021569564938545227,1.0,0.9992114305496216,0.9992114305496216,0.9992114305496216,0.024513332173228264,0.00029639998683705926,nan,0.9952465891838074,120000.0,0.006984332110732794,-0.00120827229693532,-0.043645523488521576,1893.7672119140625,-37.69287109375,32.35951614379883,0.003121886868029833,0.001185066532343626,0.0035001456271857023,267.9644775390625,42.5045280456543,3.597224473953247,46.1019172668457,433.821533203125,0.0,0.0,0.0,0.0
212.1671142578125,0.019999999552965164,43.52000045776367,6.0,1.4127516746520996,0.022378744557499886,1.0,0.9992649555206299,0.9992649555206299,0.9992649555206299,0.022756967693567276,0.0002958000113721937,nan,0.9938961863517761,140000.0,0.007486165035516024,0.0005018329247832298,-0.041324786841869354,1961.77490234375,68.0076904296875,37.013099670410156,0.003854659851640463,0.00073277298361063,0.004122389480471611,317.262939453125,45.457027435302734,3.8053061962127686,49.26246643066406,405.9886779785156,0.0,0.0,0.0,0.0
247.9485321044922,0.0,50.959999084472656,7.0,1.4124809503555298,0.020512431859970093,2.0,0.9990965723991394,0.9990965723991394,0.9990965723991394,0.024084853008389473,0.00029520000680349767,nan,0.9936726093292236,160000.0,-0.0005421506939455867,-0.00802831572946161,0.016337517648935318,1856.0263671875,-105.74853515625,42.788455963134766,0.017663149163126945,0.013808489311486483,0.0049985796213150024,367.9514465332031,43.87187194824219,6.781579971313477,50.653594970703125,394.8387756347656,0.0,0.0,0.0,0.0
266.6353454589844,0.0,54.20000076293945,8.0,1.4105182886123657,0.023430969566106796,3.0,0.9957491159439087,0.9957491159439087,0.9957491159439087,0.02398204430937767,0.00029460000223480165,nan,0.9917553663253784,180000.0,-0.009098108857870102,-0.008555958163924515,-0.16388669610023499,1583.54052734375,-272.48583984375,52.534481048583984,0.007790182251483202,-0.009872966911643744,0.02622688002884388,421.9909973144531,43.79646301269531,10.216830253601074,54.013423919677734,370.27838134765625,0.0,0.0,0.0,0.0
290.4223327636719,0.05999999865889549,59.040000915527344,9.0,1.4094620943069458,0.020782990381121635,2.0,0.9960546493530273,0.9960546493530273,0.9960546493530273,0.0235914196819067,0.00029399999766610563,nan,0.9907582402229309,200000.0,-0.0016680947737768292,0.007430014084093273,-0.1964486539363861,1600.72216796875,17.181640625,65.63142395019531,0.03476186841726303,0.02697168616577983,0.030279990285634995,472.085693359375,43.38719940185547,6.682070255279541,50.06943130493164,399.4454040527344,0.0,0.0,0.0,0.0
