Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/GradientStep,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier
-670.7494506835938,0.05000000074505806,1000.0,0.0,1.4079699516296387,0.006831898353993893,40.0,0.9998626708984375,0.9998626708984375,0.9998626708984375,0.01464289240539074,0.00029940000968053937,nan,0.9891026020050049,20000.0,-0.004582312889397144,-0.004582312889397144,-0.2178758978843689,23.821168899536133,23.821168899536133,-0.024931294843554497,0.0028276455122977495,0.0028276455122977495,0.024872705340385437,100.73114776611328,18.22744369506836,82.50320434570312,100.73077392578125,198.549072265625,0.0
-656.4235229492188,0.02500000037252903,1000.0,1.0,1.395837426185608,0.009100115858018398,16.0,0.9986761212348938,0.9986761212348938,0.9986761212348938,0.016471009701490402,0.00029880000511184335,nan,0.9771732687950134,40000.0,-0.003502247389405966,0.0010800654999911785,-0.1360970139503479,23.694990158081055,-0.12617874145507812,-10.205565452575684,0.00018933889805339277,-0.0026383066142443568,0.018900005146861076,151.3607177734375,17.934572219848633,32.663883209228516,50.59859085083008,395.26800537109375,0.0
-641.718994140625,0.0,1000.0,2.0,1.384676456451416,0.008494273759424686,12.0,1.0014722347259521,1.0014722347259521,1.0014722347259521,0.015666892752051353,0.0002982000005431473,nan,0.9663259387016296,60000.0,-0.0030393716879189014,0.00046287570148706436,0.1794484257698059,28.6622314453125,4.967241287231445,-19.62354850769043,0.00011393208842491731,-7.540680962847546e-05,0.01419874094426632,194.31256103515625,18.297510147094727,24.619586944580078,42.91724395751953,466.0132751464844,0.0
-616.045654296875,0.0,1000.0,3.0,1.3705424070358276,0.010158590972423553,19.0,0.9998242855072021,0.9998242855072021,0.9998242855072021,0.018824204802513123,0.0002975999959744513,nan,0.9527671933174133,80000.0,-0.004730085842311382,-0.0016907141543924809,0.034414343535900116,21.944875717163086,-6.717355728149414,-26.02505874633789,1.919610076583922e-05,-9.473598765907809e-05,0.011070707812905312,252.34449768066406,18.18613052368164,39.82069778442383,58.006961822509766,344.7862548828125,0.0
-591.2462768554688,0.0,1000.0,4.0,1.3555617332458496,0.01012295763939619,18.0,1.0001295804977417,1.0001295804977417,1.0001295804977417,0.017770571634173393,0.0002969999914057553,nan,0.9386038780212402,100000.0,-0.004584578797221184,0.00014550704509019852,0.2813490331172943,18.234554290771484,-3.7103214263916016,-31.82553482055664,8.064332490675952e-08,-1.911545744093246e-05,0.009262637235224247,322.99578857421875,20.148744583129883,50.46580505371094,70.61467742919922,283.2272644042969,0.0
-548.7615356445312,0.0,1000.0,5.0,1.340619683265686,0.011785277165472507,7.0,1.0003321170806885,1.0003321170806885,1.0003321170806885,0.019178342074155807,0.00029639998683705926,nan,0.9246985912322998,120000.0,-0.0018816257361322641,0.0027029530610889196,-0.38229721784591675,14.748148918151855,-3.486405372619629,-35.6963996887207,5.884338349915197e-08,-2.1799941407607548e-08,0.007750638760626316,376.3136901855469,28.797082901000977,24.492876052856445,53.29010009765625,375.3042907714844,0.0
-509.9144287109375,0.0,1000.0,6.0,1.3236948251724243,0.01122413668781519,13.0,0.9998729825019836,0.9998729825019836,0.9998729825019836,0.01846262253820896,0.0002958000113721937,nan,0.9091994166374207,140000.0,-0.00476436922326684,-0.002882743487134576,0.013031020760536194,13.532081604003906,-1.2160673141479492,-38.302520751953125,3.9768103476944816e-08,-1.9075280022207153e-08,0.006441258825361729,448.3944396972656,28.504161834716797,43.51164627075195,72.01596069335938,277.71630859375,0.0
-477.042236328125,0.019999999552965164,1000.0,7.0,1.3113880157470703,0.01638798415660858,3.0,1.0008920431137085,1.0008920431137085,1.0008920431137085,0.019863106310367584,0.00029520000680349767,nan,0.8981156349182129,160000.0,-0.0001648102334002033,0.004599558989866637,0.1574404537677765,12.929266929626465,-0.6028146743774414,-40.13716125488281,0.0004319866420701146,0.00043194687396663767,0.005338913761079311,486.0818176269531,27.67911148071289,9.981210708618164,37.66045379638672,531.0611572265625,0.0
-453.7081298828125,0.019999999552965164,1000.0,8.0,1.3018015623092651,0.029693661257624626,1.0,0.9994198679924011,0.9994198679924011,0.9994198679924011,0.0194244422018528,0.00029460000223480165,nan,0.8895553350448608,180000.0,-0.0001826490042731166,-1.78387708729133e-05,-0.2624738812446594,13.522985458374023,0.5937185287475586,-39.38972854614258,5.5514092878183874e-08,-0.00043193112797723643,0.006334870122373104,517.5125732421875,28.372987747192383,3.0335845947265625,31.40679359436035,636.8050537109375,0.0
-432.94696044921875,0.019999999552965164,1000.0,9.0,1.2816935777664185,0.011798214167356491,8.0,0.9997497200965881,0.9997497200965881,0.9997497200965881,0.018702028319239616,0.00029399999766610563,nan,0.8718908429145813,200000.0,-0.0033755789045244455,-0.003192929900251329,0.013738960027694702,10.080819129943848,-3.442166328430176,-41.347877502441406,2.769389517709442e-08,-2.7820197701089455e-08,0.00528071029111743,574.3858642578125,28.937082290649414,27.88433837890625,56.821632385253906,351.9786682128906,0.0
