Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/GradientStep,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g
-670.7494506835938,0.05000000074505806,1000.0,0.0,1.3898870944976807,0.0,10.0,0.9991254806518555,0.9991254806518555,0.9991254806518555,0.0008745491504669189,0.0,nan,0.9718960523605347,20000.0,-0.012849596329033375,-0.012849596329033375,-4.768371808516747e-10,29.389751434326172,29.389751434326172,-0.024931294843554497,156.01339721679688,127.19973754882812,28.81290054321289,156.01271057128906,128.1947021484375,0.7366752028465271,0.2787869870662689,0.1083555594086647,0.03685341775417328,0.3784395158290863
-625.1568603515625,0.05000000074505806,1000.0,1.0,1.3320186138153076,0.0,10.0,0.9995993375778198,0.9995993375778198,0.9995993375778198,0.0004006922245025635,0.0,nan,0.9173218011856079,40000.0,-0.013464132323861122,-0.0006145359948277473,-1.0747909584551962e-07,23.588272094726562,-5.801479339599609,-10.682629585266113,314.3047790527344,126.59752655029297,31.594480514526367,158.1920623779297,126.42860412597656,0.6993253827095032,0.2779874801635742,0.11462271958589554,0.04089510440826416,0.39750802516937256
-553.5999145507812,0.019999999552965164,1000.0,2.0,1.2844291925430298,0.0,10.0,1.0021204948425293,1.0021204948425293,1.0021204948425293,0.0021205544471740723,0.0,nan,0.8746821880340576,60000.0,-0.01368642970919609,-0.00022229738533496857,-5.3310394321215426e-08,25.06454086303711,1.4762687683105469,-17.77984046936035,466.19091796875,120.7938232421875,30.993606567382812,151.78749084472656,131.76318359375,0.731569230556488,0.2826023995876312,0.10589401423931122,0.03736964613199234,0.38629618287086487
-484.076416015625,0.0,1000.0,3.0,1.2403817176818848,0.0,10.0,0.9986212253570557,0.9986212253570557,0.9986212253570557,0.001378774642944336,0.0,nan,0.8373512029647827,80000.0,-0.012367913499474525,0.0013185162097215652,-3.7288664600509946e-08,24.05849266052246,-1.0060482025146484,-22.552471160888672,616.0076293945312,117.49368286132812,32.217193603515625,149.7109375,133.59078979492188,0.7611516118049622,0.27729281783103943,0.10580988228321075,0.034521330147981644,0.3643069267272949
-423.5491943359375,0.0,1000.0,4.0,1.1907029151916504,0.0,10.0,0.9994124174118042,0.9994124174118042,0.9994124174118042,0.0005876123905181885,0.0,nan,0.7969985008239746,100000.0,-0.013798877596855164,-0.0014309640973806381,1.1444092340440193e-09,19.050052642822266,-5.008440017700195,-25.794265747070312,772.901611328125,123.99156951904297,32.80147933959961,156.79312133789062,127.55662536621094,0.6915771961212158,0.270404189825058,0.11963486671447754,0.041816581040620804,0.39099636673927307
-390.5741882324219,0.0,1000.0,5.0,1.1447827816009521,0.0,10.0,0.9999846816062927,0.9999846816062927,0.9999846816062927,1.531839370727539e-05,0.0,nan,0.7614739537239075,120000.0,-0.01296260766685009,0.0008362699300050735,2.803802523487775e-08,14.991608619689941,-4.058444023132324,-28.51868438720703,926.5038452148438,124.60863494873047,28.891759872436523,153.50047302246094,130.29278564453125,0.7127885818481445,0.2693057656288147,0.1171507015824318,0.039364833384752274,0.3778200149536133
-330.4375,0.0,1000.0,6.0,1.1037232875823975,0.0,10.0,0.9998250603675842,0.9998250603675842,0.9998250603675842,0.00017493963241577148,0.0,nan,0.730800449848175,140000.0,-0.013093087822198868,-0.00013048015534877777,2.250671471415444e-08,13.076743125915527,-1.914865493774414,-29.113937377929688,1079.593994140625,121.60624694824219,31.291793823242188,152.89810180664062,130.80609130859375,0.7482510209083557,0.2831023931503296,0.10798142850399017,0.03572195768356323,0.3783521056175232
-282.0806579589844,0.0,1000.0,7.0,1.0580848455429077,0.0,10.0,1.0013480186462402,1.0013480186462402,1.0013480186462402,0.0013480186462402344,0.0,nan,0.6982784271240234,160000.0,-0.014000068418681622,-0.0009069805964827538,5.149841442175784e-09,11.876714706420898,-1.200028419494629,-29.174062728881836,1241.402587890625,127.11299133300781,34.59284973144531,161.7058868408203,123.68133544921875,0.6846475601196289,0.2692629396915436,0.12323113530874252,0.04266735911369324,0.39328697323799133
-234.705078125,0.0,1000.0,8.0,1.0062615871429443,0.0,10.0,1.0003857612609863,1.0003857612609863,1.0003857612609863,0.0003857612609863281,0.0,nan,0.6629316210746765,180000.0,-0.015212167985737324,-0.0012120995670557022,-2.9087066977240283e-08,10.048964500427246,-1.8277502059936523,-28.8181095123291,1396.100830078125,118.28778076171875,36.30109786987305,154.58892822265625,129.37538146972656,0.6331414580345154,0.26126858592033386,0.14480745792388916,0.04989171028137207,0.41265445947647095
-198.55349731445312,0.0,1000.0,9.0,0.9603236317634583,0.0,10.0,1.0012719631195068,1.0012719631195068,1.0012719631195068,0.0012719035148620605,0.0,nan,0.6330199241638184,200000.0,-0.01794959045946598,-0.0027374224737286568,3.356933575560106e-08,7.680202484130859,-2.3687620162963867,-27.918344497680664,1550.69189453125,123.70600128173828,30.793004989624023,154.49905395507812,129.4506378173828,0.5572366714477539,0.25365689396858215,0.17026661336421967,0.06440959125757217,0.45520496368408203
-151.95068359375,0.0,1000.0,10.0,0.9199867844581604,0.0,10.0,0.9974393844604492,0.9974393844604492,0.9974393844604492,0.0025605857372283936,0.0,nan,0.6080060005187988,220000.0,-0.018445758149027824,-0.0004961676895618439,9.860992378207811e-08,7.280553340911865,-0.39964914321899414,-25.83066177368164,1702.9984130859375,118.91564178466797,33.28828811645508,152.2039794921875,131.40261840820312,0.5273677706718445,0.23862303793430328,0.20827531814575195,0.07191222906112671,0.4524793326854706
-96.38214111328125,0.0,1000.0,11.0,0.8764286637306213,0.0,10.0,0.9997179508209229,0.9997179508209229,0.9997179508209229,0.00028201937675476074,0.0,nan,0.5821340084075928,240000.0,-0.019120924174785614,-0.0006751660257577896,7.858276518390994e-08,7.03682279586792,-0.2437305450439453,-23.13273048400879,1858.89697265625,125.70632934570312,30.08715057373047,155.7935333251953,128.3750457763672,0.5041043162345886,0.24638202786445618,0.2000551074743271,0.07870259881019592,0.4887520372867584
