Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/GradientStep,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-660.439697265625,0.0,1000.0,0.0,1.3832041025161743,0.0003881056618411094,10.0,1.0019563436508179,1.0019563436508179,1.0019563436508179,0.0013832595432177186,0.0,nan,0.9652766585350037,20000.0,-0.01840355433523655,-0.01840355433523655,-2.9754637864698452e-08,24.35980987548828,24.35980987548828,-0.05752138793468475,0.010174412280321121,0.010174412280321121,-0.023225359618663788,287.4969787597656,254.90054321289062,32.5958366394043,287.4964294433594,69.56608581542969,0.70730060338974,0.26224085688591003,0.11673132330179214,0.03997806832194328,0.3707629442214966,1.0,0.0,0.0,0.0,0.0
-615.0025634765625,0.0,1000.0,1.0,1.3268135786056519,0.00038902892265468836,10.0,0.9999029040336609,0.9999029040336609,0.9999029040336609,6.869938806630671e-05,0.0,nan,0.9124763607978821,40000.0,-0.019674213603138924,-0.0012706592679023743,-1.1081695561188099e-07,24.26202964782715,-0.09778022766113281,-10.920344352722168,0.0002612551616039127,-0.009913157118717209,-0.02159062772989273,568.22265625,249.0849151611328,31.609394073486328,280.6943664550781,71.25187683105469,0.6477874517440796,0.26337960362434387,0.12717977166175842,0.0476611852645874,0.40658339858055115,1.0,0.0,0.0,0.0,0.0
-566.4317016601562,0.019999999552965164,1000.0,2.0,1.2825335264205933,0.0003995174483861774,10.0,1.000217080116272,1.000217080116272,1.000217080116272,0.00015358315431512892,0.0,nan,0.8729365468025208,60000.0,-0.020701920613646507,-0.0010277070105075836,-4.730224389959403e-08,33.573612213134766,9.311582565307617,-17.892499923706055,0.0006113278213888407,0.00035007265978492796,-0.014385731890797615,854.72021484375,255.3147735595703,31.088436126708984,286.40325927734375,69.83161163330078,0.6352790594100952,0.25988173484802246,0.1335533857345581,0.04955652356147766,0.4090828001499176,1.0,0.0,0.0,0.0,0.0
-500.6210021972656,0.05999999865889549,1000.0,3.0,1.2438390254974365,0.0003992702404502779,10.0,0.999178409576416,0.999178409576416,0.999178409576416,0.0005809240974485874,0.0,nan,0.840024471282959,80000.0,-0.01759962923824787,0.003102291375398636,5.187987994759169e-08,29.51874542236328,-4.054866790771484,-23.67156219482422,0.0012563500786200166,0.0006450222572311759,-0.015699371695518494,1136.1187744140625,252.61643981933594,28.69216537475586,281.3086853027344,71.09628295898438,0.7376673817634583,0.26118844747543335,0.11574821919202805,0.03675434738397598,0.3540734648704529,1.0,0.0,0.0,0.0,0.0
-438.1078796386719,0.05999999865889549,1000.0,4.0,1.207646369934082,0.0004031471908092499,10.0,1.000295639038086,1.000295639038086,1.000295639038086,0.0002091045753331855,0.0,nan,0.8101367950439453,100000.0,-0.016230614855885506,0.0013690143823623657,-3.356933575560106e-08,29.0585994720459,-0.4601459503173828,-27.270736694335938,2.471706466167234e-05,-0.0012316330139583442,-0.0122916828840971,1406.099609375,241.08763122558594,28.796161651611328,269.88385009765625,74.10595703125,0.751107931137085,0.2513081431388855,0.12293840944766998,0.035450730472803116,0.33458325266838074,1.0,0.0,0.0,0.0,0.0
-378.5588684082031,0.03999999910593033,1000.0,5.0,1.1616541147232056,0.0004094076284673065,10.0,0.9989116191864014,0.9989116191864014,0.9989116191864014,0.0007696014363318682,0.0,nan,0.773651123046875,120000.0,-0.02014555223286152,-0.003914937376976013,-2.4414061883248905e-08,18.73697853088379,-10.32162094116211,-29.51715850830078,1.153371513851198e-07,-2.460172751028722e-05,-0.010123470798134804,1688.62255859375,248.61099243164062,33.81027603149414,282.42132568359375,70.8161849975586,0.6269528865814209,0.2548920810222626,0.13962236046791077,0.0508815199136734,0.40655696392059326,1.0,0.0,0.0,0.0,0.0
-324.611328125,0.0,1000.0,6.0,1.1221849918365479,0.0004042031359858811,10.0,0.9999527931213379,0.9999527931213379,0.9999527931213379,3.335222936584614e-05,0.0,nan,0.7434867024421692,140000.0,-0.01901756413280964,0.0011279881000518799,-3.433227480087453e-09,21.245853424072266,2.5088748931884766,-29.016359329223633,7.792573342157993e-08,-3.741141796353986e-08,-0.00843561440706253,1971.505615234375,251.18408203125,31.60738182067871,282.7915344238281,70.72348022460938,0.6690685749053955,0.25189143419265747,0.14790384471416473,0.044677477329969406,0.37648072838783264,1.0,0.0,0.0,0.0,0.0
-285.5010681152344,0.0,1000.0,7.0,1.0825490951538086,0.0004055079189129174,10.0,0.9969658255577087,0.9969658255577087,0.9969658255577087,0.002145499223843217,0.0,nan,0.7146744132041931,160000.0,-0.019413238391280174,-0.0003956742584705353,-8.01086397217432e-09,18.834598541259766,-2.4112548828125,-29.47524070739746,5.3913016273554604e-08,-2.401271714802533e-08,-0.0070253838784992695,2251.30517578125,249.47573852539062,30.297916412353516,279.7737121582031,71.48634338378906,0.6689307689666748,0.2517956793308258,0.14145353436470032,0.044695883989334106,0.3764151632785797,1.0,0.0,0.0,0.0,0.0
-223.5333251953125,0.0,1000.0,8.0,1.0505417585372925,0.0004062853695359081,10.0,0.9996687769889832,0.9996687769889832,0.9996687769889832,0.00023419597710017115,0.0,nan,0.692500650882721,180000.0,-0.0190717875957489,0.0003414507955312729,1.1444091896350983e-08,20.798484802246094,1.9638862609863281,-28.739925384521484,3.736529663456167e-08,-1.654771963899293e-08,-0.005850790999829769,2531.400146484375,247.49822998046875,32.501888275146484,280.00018310546875,71.42852783203125,0.6899617910385132,0.24795839190483093,0.14529277384281158,0.04201262444257736,0.3593798875808716,1.0,0.0,0.0,0.0,0.0
-147.32400512695312,0.0,1000.0,9.0,1.0227848291397095,0.0004003428330179304,10.0,1.00041925907135,1.00041925907135,1.00041925907135,0.0002965452440548688,0.0,nan,0.6739532947540283,200000.0,-0.01967194862663746,-0.0006001610308885574,-1.5258788677030566e-09,20.825510025024414,0.027025222778320312,-26.152725219726562,2.602605420065629e-08,-1.1339242433905383e-08,-0.004883837886154652,2813.41162109375,248.58938598632812,33.31490707397461,281.90435791015625,70.94605255126953,0.6507866382598877,0.2521372139453888,0.15886203944683075,0.04722290113568306,0.3874345123767853,1.0,0.0,0.0,0.0,0.0
-71.3971939086914,0.07999999821186066,1000.0,10.0,0.9991975426673889,0.0004048147820867598,10.0,0.9997827410697937,0.9997827410697937,0.9997827410697937,0.00015366740990430117,0.0,nan,0.6586201190948486,220000.0,-0.020627809688448906,-0.0009558610618114471,7.629394338515283e-10,25.382234573364258,4.556724548339844,-23.222707748413086,0.0038316950667649508,0.00383166904071075,-0.004069294314831495,3085.699462890625,241.31578063964844,30.87992286682129,272.19573974609375,73.47653198242188,0.6429847478866577,0.2506629526615143,0.17618528008460999,0.04837584123015404,0.38984277844429016,1.0,0.0,0.0,0.0,0.0
-11.502806663513184,0.10000000149011612,1000.0,11.0,0.9790847897529602,0.00040521359187550843,10.0,1.0000303983688354,1.0000303983688354,1.0000303983688354,2.146683073078748e-05,0.0,nan,0.6458527445793152,240000.0,-0.01966460607945919,0.0009632036089897156,4.549026400013645e-08,30.50792121887207,5.1256866455078125,-18.39759063720703,0.00043412091326899827,-0.0033975741534959525,-0.0007553622708655894,3369.705810546875,253.9046630859375,30.072450637817383,283.9771728515625,70.4281997680664,0.6645427942276001,0.24734905362129211,0.15769006311893463,0.0452880859375,0.372209370136261,1.0,0.0,0.0,0.0,0.0
33.272125244140625,0.05999999865889549,1000.0,12.0,0.9570891857147217,0.000401349738240242,10.0,0.9993862509727478,0.9993862509727478,0.9993862509727478,0.0004340001614764333,0.0,nan,0.6317532658576965,260000.0,-0.02045729197561741,-0.0007926858961582184,2.5177001816700795e-08,25.943750381469727,-4.564170837402344,-14.615863800048828,0.0008349090348929167,0.0004007881216239184,0.0004345607303548604,3654.307861328125,254.5126953125,29.99751853942871,284.5102844238281,70.29623413085938,0.6431264877319336,0.25166019797325134,0.16334417462348938,0.04835452139377594,0.3913074731826782,1.0,0.0,0.0,0.0,0.0
82.55279541015625,0.30000001192092896,1000.0,13.0,0.9287040829658508,0.00042302237125113606,10.0,0.9993536472320557,0.9993536472320557,0.9993536472320557,0.0004570404125843197,0.0,nan,0.6142743825912476,280000.0,-0.021764084696769714,-0.0013067927211523056,1.9454954980346884e-08,35.076805114746094,9.133054733276367,-10.477782249450684,0.007700606714934111,0.006865697680041194,0.001499840640462935,3936.81494140625,251.78323364257812,30.618886947631836,282.4021911621094,70.82098388671875,0.6043606400489807,0.24010632932186127,0.19457599520683289,0.05475673824548721,0.39728984236717224,1.0,0.0,0.0,0.0,0.0
