Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/GradientStep,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-670.7494506835938,0.05000000074505806,1000.0,0.0,1.380203366279602,0.00036430262844078243,10.0,0.998833954334259,0.998833954334259,0.998833954334259,0.0008245328208431602,0.0,nan,0.9625280499458313,20000.0,-0.017132796347141266,-0.017132796347141266,-4.768371808516747e-10,29.389751434326172,29.389751434326172,-0.024931294843554497,0.005385101307183504,0.005385101307183504,0.024872705340385437,25.254003524780273,17.26772689819336,7.98577880859375,25.253559112548828,791.9678344726562,0.7366752028465271,0.2787869870662689,0.1083555594086647,0.03685341775417328,0.3784395158290863,1.0,0.0,0.0,0.0,0.0
-625.1568603515625,0.05000000074505806,1000.0,1.0,1.3224128484725952,0.0003655466716736555,10.0,0.9994657635688782,0.9994657635688782,0.9994657635688782,0.0003777762467507273,0.0,nan,0.9084983468055725,40000.0,-0.017952213063836098,-0.0008194167166948318,-1.0747909584551962e-07,23.588272094726562,-5.801479339599609,-10.682629585266113,0.0006295534549281001,-0.004755547852255404,0.018775271251797676,51.60368347167969,17.954334259033203,8.368782043457031,26.323165893554688,759.787353515625,0.6993253827095032,0.2779874801635742,0.11462271958589554,0.04089510440826416,0.39750802516937256,1.0,0.0,0.0,0.0,0.0
-553.5999145507812,0.019999999552965164,1000.0,2.0,1.2781717777252197,0.00036399418604560196,10.0,1.0028272867202759,1.0028272867202759,1.0028272867202759,0.0019992778543382883,0.0,nan,0.8692924380302429,60000.0,-0.01824859343469143,-0.0002963803708553314,-5.3310394321215426e-08,25.06454086303711,1.4762687683105469,-17.77984046936035,0.00010821902105817571,-0.0005213344338699244,0.01324293203651905,77.04086303710938,17.26784896850586,8.145465850830078,25.413372039794922,786.987548828125,0.731569230556488,0.2826023995876312,0.10589401423931122,0.03736964613199234,0.38629618287086487,1.0,0.0,0.0,0.0,0.0
-484.076416015625,0.0,1000.0,3.0,1.2319566011428833,0.0003776366065721959,10.0,0.9981616139411926,0.9981616139411926,0.9981616139411926,0.001299921190366149,0.0,nan,0.8302972912788391,80000.0,-0.01649056188762188,0.0017580315470695496,-3.7288664600509946e-08,24.05849266052246,-1.0060482025146484,-22.552471160888672,1.8522243408369832e-05,-8.969677764980588e-05,0.01061098463833332,102.98625183105469,17.897899627685547,8.021249771118164,25.919200897216797,771.6290283203125,0.7611516118049622,0.27729281783103943,0.10580988228321075,0.034521330147981644,0.3643069267272949,1.0,0.0,0.0,0.0,0.0
-423.5491943359375,0.0,1000.0,4.0,1.1825684309005737,0.0003873741370625794,10.0,0.9992165565490723,0.9992165565490723,0.9992165565490723,0.000554006255697459,0.0,nan,0.7906014919281006,100000.0,-0.018398502841591835,-0.0019079409539699554,1.1444092340440193e-09,19.050052642822266,-5.008440017700195,-25.794265747070312,7.710441707331483e-08,-1.8445138991296517e-05,0.008777306415140629,129.262939453125,17.9775390625,8.272215843200684,26.249805450439453,761.91064453125,0.6915771961212158,0.270404189825058,0.11963486671447754,0.041816581040620804,0.39099636673927307,1.0,0.0,0.0,0.0,0.0
-390.5741882324219,0.0,1000.0,5.0,1.1376105546951294,0.00037644070107489824,10.0,0.999979555606842,0.999979555606842,0.999979555606842,1.4442333849729039e-05,0.0,nan,0.7560294270515442,120000.0,-0.017283467575907707,0.0011150352656841278,2.803802523487775e-08,14.991608619689941,-4.058444023132324,-28.51868438720703,5.3600803795461616e-08,-2.350361327785322e-08,0.007308050524443388,155.58901977539062,18.125934600830078,8.172327041625977,26.298315048217773,760.5052490234375,0.7127885818481445,0.2693057656288147,0.1171507015824318,0.039364833384752274,0.3778200149536133,1.0,0.0,0.0,0.0,0.0
-330.4375,0.0,1000.0,6.0,1.097209095954895,0.00035664442111738026,10.0,0.9997667670249939,0.9997667670249939,0.9997667670249939,0.00016493466682732105,0.0,nan,0.7260205149650574,140000.0,-0.017457444220781326,-0.00017397664487361908,2.250671471415444e-08,13.076743125915527,-1.914865493774414,-29.113937377929688,3.782853141842679e-08,-1.5772272377034824e-08,0.006096228491514921,181.97100830078125,17.96490478515625,8.3916654586792,26.35663414001465,758.822509765625,0.7482510209083557,0.2831023931503296,0.10798142850399017,0.03572195768356323,0.3783521056175232,1.0,0.0,0.0,0.0,0.0
-282.0806579589844,0.0,1000.0,7.0,1.0493862628936768,0.0003885023179464042,10.0,1.0017973184585571,1.0017973184585571,1.0017973184585571,0.0012709241127595305,0.0,nan,0.6922177672386169,160000.0,-0.01866675354540348,-0.0012093093246221542,5.149841442175784e-09,11.876714706420898,-1.200028419494629,-29.174062728881836,2.7008722369714633e-08,-1.0819809048712159e-08,0.005083374213427305,208.33538818359375,17.876981735229492,8.460411071777344,26.33745002746582,759.3751831054688,0.6846475601196289,0.2692629396915436,0.12323113530874252,0.04266735911369324,0.39328697323799133,1.0,0.0,0.0,0.0,0.0
-234.705078125,0.0,1000.0,8.0,0.9976857304573059,0.0004028883995488286,10.0,1.0005143880844116,1.0005143880844116,1.0005143880844116,0.0003636991896200925,0.0,nan,0.6572100520133972,180000.0,-0.02028289996087551,-0.0016161464154720306,-2.9087066977240283e-08,10.048964500427246,-1.8277502059936523,-28.8181095123291,1.9016905383750782e-08,-7.991816985963851e-09,0.004171579144895077,234.6090545654297,17.91445541381836,8.315444946289062,26.229957580566406,762.4872436523438,0.6331414580345154,0.26126858592033386,0.14480745792388916,0.04989171028137207,0.41265445947647095,1.0,0.0,0.0,0.0,0.0
-198.55349731445312,0.0,1000.0,9.0,0.9535868763923645,0.00042677533929236233,10.0,1.001695990562439,1.001695990562439,1.001695990562439,0.0011991622159257531,0.0,nan,0.6287708878517151,200000.0,-0.023932775482535362,-0.003649875521659851,3.356933575560106e-08,7.680202484130859,-2.3687620162963867,-27.918344497680664,1.4032839779076767e-08,-4.984065604674015e-09,0.0035562741104513407,260.6649169921875,17.83757209777832,8.190524101257324,26.02817153930664,768.3984985351562,0.5572366714477539,0.25365689396858215,0.17026661336421967,0.06440959125757217,0.45520496368408203,1.0,0.0,0.0,0.0,0.0
